YearAW,State,Aircraft,Region
1905,IL,1,Central
1906,AK,1,AlaskaHawaii
1906,NM,1,Central
1910,MA,1,Eastern
1912,TN,1,Eastern
1916,FL,1,Eastern
1916,MA,1,Eastern
1917,ID,1,Western
1917,TX,1,Central
1920,VA,1,Eastern
1922,PA,1,Eastern
1923,TX,1,Central
1926,WI,1,Eastern
1928,CA,1,Western
1929,CA,1,Western
1929,NY,2,Eastern
1930,DE,1,Eastern
1930,KS,1,Central
1931,NY,1,Eastern
1932,CA,1,Western
1935,IN,1,Central
1936,CA,1,Western
1936,DC,1,Eastern
1936,FL,1,Eastern
1936,KS,1,Central
1936,OH,1,Central
1936,TX,1,Central
1937,IL,1,Central
1937,OH,1,Central
1937,VA,1,Eastern
1938,MA,1,Eastern
1938,OH,1,Central
1938,PA,1,Eastern
1938,WA,1,Western
1939,CA,1,Western
1939,NY,1,Eastern
1940,AZ,1,Western
1940,CA,2,Western
1940,DE,1,Eastern
1940,IL,2,Central
1940,MI,1,Central
1940,MN,1,Central
1940,MS,1,Eastern
1940,NH,1,Eastern
1940,OH,2,Central
1940,OK,1,Central
1940,WI,1,Eastern
1941,CA,3,Western
1941,CT,1,Eastern
1941,FL,1,Eastern
1941,IA,1,Central
1941,IL,2,Central
1941,LA,1,Central
1941,MD,1,Eastern
1941,OR,1,Western
1941,PA,1,Eastern
1941,TX,2,Central
1941,WI,2,Eastern
1942,IL,2,Central
1942,OH,2,Central
1942,OK,1,Central
1942,WI,1,Eastern
1943,AL,1,Eastern
1943,DE,1,Eastern
1943,IL,1,Central
1943,NC,1,Eastern
1943,TN,1,Eastern
1943,TX,1,Central
1944,MD,1,Eastern
1944,NM,1,Central
1944,NY,1,Eastern
1944,OH,1,Central
1944,WI,1,Eastern
1945,CA,1,Western
1945,FL,1,Eastern
1945,MI,1,Central
1945,NE,1,Central
1945,NM,1,Central
1945,OH,1,Central
1945,SC,1,Eastern
1945,WA,3,Western
1945,WI,1,Eastern
1946,AK,1,AlaskaHawaii
1946,AL,2,Eastern
1946,AZ,1,Western
1946,CA,3,Western
1946,DE,1,Eastern
1946,FL,6,Eastern
1946,ID,2,Western
1946,IL,1,Central
1946,IN,1,Central
1946,KS,2,Central
1946,LA,1,Central
1946,ME,1,Eastern
1946,MI,2,Central
1946,MN,1,Central
1946,MO,1,Central
1946,NC,2,Eastern
1946,NY,3,Eastern
1946,OH,2,Central
1946,OK,1,Central
1946,OR,1,Western
1946,PA,4,Eastern
1946,SD,3,Central
1946,TX,6,Central
1946,UT,1,Western
1946,VA,1,Eastern
1946,WA,5,Western
1946,WI,2,Eastern
1947,CA,3,Western
1947,DE,1,Eastern
1947,FL,3,Eastern
1947,GA,1,Eastern
1947,ID,2,Western
1947,IL,2,Central
1947,IN,3,Central
1947,KS,1,Central
1947,MA,1,Eastern
1947,MI,1,Central
1947,MN,3,Central
1947,MO,2,Central
1947,MS,1,Eastern
1947,NC,4,Eastern
1947,NE,1,Central
1947,NH,1,Eastern
1947,NV,1,Western
1947,NY,3,Eastern
1947,OH,3,Central
1947,OK,1,Central
1947,OR,1,Western
1947,PA,2,Eastern
1947,SC,2,Eastern
1947,TN,2,Eastern
1947,TX,4,Central
1947,VA,2,Eastern
1947,WA,1,Western
1948,AK,2,AlaskaHawaii
1948,AZ,1,Western
1948,CA,3,Western
1948,DE,2,Eastern
1948,FL,2,Eastern
1948,GA,1,Eastern
1948,IA,1,Central
1948,MI,1,Central
1948,MT,1,Western
1948,NC,1,Eastern
1948,NE,1,Central
1948,NY,1,Eastern
1948,OH,1,Central
1948,OK,1,Central
1948,TN,2,Eastern
1948,TX,3,Central
1948,VA,2,Eastern
1948,WA,1,Western
1949,CA,3,Western
1949,CO,2,Central
1949,DE,1,Eastern
1949,FL,2,Eastern
1949,GA,1,Eastern
1949,IN,1,Central
1949,KS,1,Central
1949,MA,1,Eastern
1949,MD,1,Eastern
1949,MO,1,Central
1949,NC,1,Eastern
1949,NH,1,Eastern
1949,TX,3,Central
1949,WA,1,Western
1949,WY,1,Central
1950,CA,5,Western
1950,FL,2,Eastern
1950,IA,2,Central
1950,ID,1,Western
1950,IL,1,Central
